LPERMNO,year,avg_return,sd_return
10001,2006,0.5329628010415688,0.10871224716758641
10001,2007,0.5623320167625111,0.10316299897891237
10001,2008,0.3466698367173572,0.08796772310734607
10001,2009,0.29341764473370563,0.05322196203816036
10001,2010,0.3042965033022052,0.015478134346635107
10001,2011,0.3018090055711632,0.013465664179148082
10001,2012,0.29449897167661976,0.019283273248536126
10001,2013,0.33421173499321594,0.3618441971280799
10001,2014,0.27404241716318933,0.05782262121296238
10001,2015,0.2683828934407786,0.08292528529434312
10001,2016,0.24579316000892062,0.05849232210808223
10001,2017,0.25966143094017213,0.10149503644755163
10002,2006,0.868185612184793,1.045386034530123
10002,2007,2.4883676952933063,2.248686029059529
10002,2008,1.344833306407553,0.9314217873505605
10002,2009,0.5966271894924849,0.24775912952673845
10002,2010,0.4779356731953734,0.15800323663267743
10002,2011,0.41420408778230816,0.20919900038375838
10002,2012,0.39244448980696167,0.2399754866257186
10002,2013,0.37013639641759616,0.2919841882742105
10025,2006,0.9817503072837032,0.30462453126540995
10025,2007,1.0822142748894614,0.25285135682026494
10025,2008,0.9264067546086497,0.3108063407240334
10025,2009,0.8125262545389889,0.4578137374215954
10025,2010,0.9363296773128381,0.20732234406942593
10025,2011,0.9639268834046093,0.1665336320381296
10025,2012,1.2690660815377601,0.6145198010919061
10025,2013,1.6151384469923127,1.0818334060530412
10025,2014,0.9906482663748625,0.18512620196220486
10025,2015,1.0632152305657496,0.4625177093227179
10025,2016,1.2124794746918044,1.0149938137816903
10025,2017,1.1723911230271415,0.2126031562713322
10026,2006,0.8932525862682034,0.3114448073694498
10026,2007,0.8157463243941449,0.3347217267876201
10026,2008,0.8947345539582894,0.2149865395249391
10026,2009,0.6781797896017645,0.3245149755048229
10026,2010,0.7211714722228734,0.24585773554077314
10026,2011,0.8314541039305187,0.27218964146427765
10026,2012,0.7244526980535859,0.28560046414273593
10026,2013,1.0631338595827544,0.40803993434209845
10026,2014,1.3114731107222302,0.48820624018095654
10026,2015,1.486446492615968,0.6175454412289589
10026,2016,1.4396771129903225,1.5912643920782379
10026,2017,0.9806191915445279,0.6431559968928434
10026,2018,1.2525026645382606,0.9717947564968156
10026,2019,1.71349666417146,1.587775380986514
10026,2020,1.1055526529460955,0.8872481088666285
10026,2021,1.2054688288322968,1.0869469334286932
10042,2006,1.0807326967134754,0.32462639348607325
10042,2007,0.9766907419741954,0.12286383747000618
10042,2008,0.9320235871885538,0.17842062225846542
10044,2006,1.0390487514797642,0.21537804316434356
10044,2007,1.0570848716911798,0.35311563713740024
10044,2008,0.8410764991588839,0.14058502018315688
10044,2009,0.7584979552051371,0.18257264008412932
10044,2010,0.7608108678202233,0.09176820401328231
10044,2011,0.7214159648881906,0.1092003240310508
10044,2012,0.7155844901942048,0.06568612271026279
10044,2013,0.7214493262391803,0.03716520743907726
10044,2014,0.7305374272363314,0.1164701513915803
10044,2015,0.7191357508634093,0.13779318061569026
10044,2016,0.6737008462833206,0.08667694810659307
10044,2017,0.6906506266300705,0.20035453726627447
10044,2018,0.7141340418801556,0.34531589749984226
10044,2019,0.5634252624891087,0.04499016266617012
10044,2020,0.5000448151996167,0.09705571986988897
10044,2021,0.5288608320457289,0.09133079682439409
10056,2006,0.546906712563358,0.16090340511985948
10065,2006,0.10250096719894014,0.0349652813887321
10065,2007,0.09792232954909671,0.02783490551646614
10065,2008,0.0906463662587191,0.0266612686469989
10065,2009,0.08361028517250409,0.024759620907379157
10065,2010,0.0830134719682381,0.017092795514077767
10065,2011,0.07995334019192495,0.01426920137366931
10065,2012,0.0774675288067877,0.008103315057014998
10065,2013,0.07748264426594896,0.004767695643076927
10065,2014,0.07688641893109037,0.013889223507759734
10065,2015,0.07234998321700967,0.016587984015370164
10065,2016,0.06998804880459203,0.020493232243340487
10065,2017,0.06952628544373084,0.03216428914525842
10065,2018,0.0709915013629519,0.047192080501985735
