LPERMNO,fyear,prcc_f,ajex,adjust_prccf,prcc_pcchg
20482,2014,45.02,1,45.02,0.174536916
20482,2015,44.91,1,44.91,-0.002443359
20482,2016,38.41,1,38.41,-0.144733912
20482,2017,57.07,1,57.07,0.485810987
20482,2018,72.33,1,72.33,0.267390923
20482,2019,86.86,1,86.86,0.200884833
20482,2020,109.49,1,109.49,0.260534193
20482,2021,140.74,1,140.74,0.285414193
10560,2006,2.99,1,2.99,
10568,2006,4.34,1.05,4.557,
10568,2007,5.96,1.05,6.258,0.373271889
10568,2008,2.26,1,2.26,-0.638862256
10568,2009,3.4001,1,3.4001,0.504469027
10568,2010,2.33,1,2.33,-0.314726037
10656,2006,6.92,1,6.92,
10656,2007,9.25,1,9.25,0.336705202
10656,2008,7.64,1,7.64,-0.174054054
10656,2009,6.67,1,6.67,-0.126963351
10656,2010,5.73,1,5.73,-0.140929535
10656,2011,6.71,1,6.71,0.171029668
10656,2012,9.03,1,9.03,0.345752608
10656,2013,13.93,1,13.93,0.542635659
10656,2014,18.14,1,18.14,0.302225413
10656,2015,24.63,1,24.63,0.357772878
10656,2016,21.89,1,21.89,-0.111246447
10656,2017,15.45,1,15.45,-0.294198264
10656,2018,3.35,1,3.35,-0.783171521
60038,2006,14.41,1,14.41,
60038,2007,14.2501,1,14.2501,-0.011096461
60038,2008,7.05,1,7.05,-0.50526663
60038,2009,9.1993,1,9.1993,0.304865248
60038,2010,9.52,1,9.52,0.034861348
60038,2011,9.5,1,9.5,-0.00210084
60038,2012,11.04,1,11.04,0.162105263
60038,2013,14.9,1,14.9,0.349637681
60038,2014,19.99,1,19.99,0.341610738
60038,2015,17.4,1,17.4,-0.129564782
60038,2016,25.57,1,25.57,0.46954023
60038,2017,23.4,1,23.4,-0.084865076
60038,2018,14.25,1,14.25,-0.391025641
60038,2019,23.79,1,23.79,0.669473684
60038,2020,30.13,1,30.13,0.266498529
60038,2021,33.7,1,33.7,0.118486558
85084,2006,1.5307,0,0,
85084,2007,0.95,0,0,
85084,2008,0.691,0,0,
79678,2006,18.94,1,18.94,
79678,2007,27.31,1,27.31,0.441921859
10779,2006,6,1,6,
10779,2007,3.15,1,3.15,-0.475
10779,2008,0.74,1,0.74,-0.765079365
10779,2009,3.14,1,3.14,3.243243243
10779,2010,1.8,1,1.8,-0.426751592
10779,2011,1.1,1,1.1,-0.388888889
10779,2012,1.68,1,1.68,0.527272727
10779,2013,3.37,1,3.37,1.005952381
10779,2014,4.8,1,4.8,0.424332344
10779,2015,3.94,1,3.94,-0.179166667
10779,2016,4.75,1,4.75,0.205583756
10779,2017,3.55,1,3.55,-0.252631579
10779,2018,3.75,1,3.75,0.056338028
10779,2019,3.1,1,3.1,-0.173333333
10779,2020,3.03,1,3.03,-0.022580645
10065,2006,13.87,1,13.87,
10065,2007,14.12,1,14.12,0.018024513
10065,2008,8.03,1,8.03,-0.431303116
10065,2009,10.1,1,10.1,0.257783313
10065,2010,10.74,1,10.74,0.063366337
10065,2011,9.64,1,9.64,-0.102420857
10065,2012,10.59,1,10.59,0.098547718
10065,2013,13.07,1,13.07,0.234183192
10065,2014,13.68,1,13.68,0.046671767
10065,2015,12.83,1,12.83,-0.062134503
10065,2016,12.71,1,12.71,-0.009353079
10065,2017,15.03,1,15.03,0.182533438
10065,2018,12.62,1,12.62,-0.160345975
10065,2019,15.77,1,15.77,0.249603803
10065,2020,17.29,1,17.29,0.096385542
10065,2021,19.41,1,19.41,0.122614228
61487,2006,30.11,1,30.11,
61487,2007,25.7,1,25.7,-0.146462969
61487,2008,17,1,17,-0.338521401
61487,2009,22.05,1,22.05,0.297058824
61487,2010,24.316,1,24.316,0.10276644
61487,2011,29.111,1,29.111,0.197195262
61487,2012,35.07,1,35.07,0.204699255
61487,2013,68.5,1,68.5,0.953236384
61487,2014,49.95,1,49.95,-0.27080292
61487,2015,38.4,1,38.4,-0.231231231
61487,2016,39.65,1,39.65,0.032552083
61487,2017,43.5,1,43.5,0.097099622
61487,2018,38.71,1,38.71,-0.110114943
61487,2019,38.07,1,38.07,-0.016533196
61487,2020,24.1,1,24.1,-0.366955608
61487,2021,27.81,1,27.81,0.153941909
61241,2006,20.35,1,20.35,
61241,2007,7.5,1,7.5,-0.631449631
61241,2008,2.16,1,2.16,-0.712
61241,2009,9.68,1,9.68,3.481481481
61241,2010,8.18,1,8.18,-0.154958678
61241,2011,5.4,1,5.4,-0.339853301
61241,2012,2.4,1,2.4,-0.555555556
61241,2013,3.87,1,3.87,0.6125
61241,2014,2.67,1,2.67,-0.310077519
61241,2015,2.87,1,2.87,0.074906367
61241,2016,11.34,1,11.34,2.951219512
61241,2017,10.28,1,10.28,-0.093474427
61241,2018,18.46,1,18.46,0.795719844
61241,2019,45.86,1,45.86,1.484290358
61241,2020,91.71,1,91.71,0.999781945
61241,2021,143.9,1,143.9,0.569076437
11077,2006,20.93,1,20.93,
11077,2007,23.95,1,23.95,0.144290492
11077,2008,8.71,1,8.71,-0.636325678
11077,2009,25.74,1,25.74,1.955223881
11077,2010,35.01,1,35.01,0.36013986
11077,2011,29.06,1,29.06,-0.169951442
11077,2012,36.28,1,36.28,0.24845148
11077,2013,33,1,33,-0.090407938
11077,2014,42.37,1,42.37,0.283939394
11157,2006,7.01,1,7.01,
11157,2007,5,1,5,-0.286733238
11157,2008,0.85,1,0.85,-0.83
11157,2009,3.94,1,3.94,3.635294118
11157,2010,3.57,1,3.57,-0.093908629
11157,2011,3.38,1,3.38,-0.053221289
11157,2012,3.9,1,3.9,0.153846154
