LPERMNO,year,stand_dev
10201,2019,0.018866229
10201,2020,0.027138728
10201,2021,0.042182391
10205,2006,0.012237326
10205,2007,0.013097873
10205,2008,0.040155172
10205,2009,0.039885112
10205,2010,0.036729835
10207,2006,0.015873837
10207,2007,0.017509403
10207,2008,0.036767097
10207,2009,0.020560028
10207,2010,0.014929595
10207,2011,0.0174361
10207,2012,0.010632037
10207,2013,0.008743349
10207,2014,0.009196241
10207,2015,0.009780584
10207,2016,0.011679185
10207,2017,0.006389782
10207,2018,0.008888873
10207,2019,0.008176091
10207,2020,0.023373087
10207,2021,0.010774544
10211,2006,0.010937497
10220,2010,0.017373576
10220,2011,0.026827813
10220,2012,0.016567302
10220,2013,0.011223784
10220,2014,0.014645729
10220,2015,0.01367084
10220,2016,0.012734799
10220,2017,0.010686787
10220,2018,0.021360651
10220,2019,0.015316252
10220,2020,0.024970529
10220,2021,0.015390967
10225,2006,0.01001742
10225,2007,0.011599139
10225,2008,0.027857638
10225,2009,0.031081709
10225,2010,0.016954147
10225,2011,0.016057055
10225,2012,0.012455502
10225,2013,0.010846843
10225,2014,0.027276991
10232,2006,0.01943477
10232,2007,0.02598013
10232,2008,0.06105553
10232,2009,0.053813142
10232,2010,0.024743495
10232,2011,0.020390278
10232,2012,0.020995781
10232,2013,0.021880355
10232,2014,0.020280774
10232,2015,0.015789163
10232,2016,0.018676396
10232,2017,0.008986943
10232,2018,0.00876942
10232,2019,0.017209008
10232,2020,0.02922094
10232,2021,0.047173354
10238,2006,0.054834014
10238,2007,0.017264778
10238,2008,0.031146982
10239,2006,0.016155265
10239,2007,0.017066397
10239,2008,0.037115845
10239,2009,0.030865536
10239,2010,0.022498899
10239,2011,0.02130044
10239,2012,0.01696717
10239,2013,0.018358865
10239,2014,0.012756382
10239,2015,0.010624701
10239,2016,0.011649819
10239,2017,0.010954196
10239,2018,0.014359901
10239,2019,0.018845306
10239,2020,0.039958273
10239,2021,0.052559927
10252,2006,0.017755027
10252,2007,0.022705472
10252,2008,0.039469263
10252,2009,0.03675347
10252,2010,0.02007218
10252,2011,0.02662295
10252,2012,0.014026967
10252,2013,0.010940245
10252,2014,0.012404858
10252,2015,0.014867349
10252,2016,0.016549588
10252,2017,0.015857889
10252,2018,0.015544783
10252,2019,0.015542558
10252,2020,0.036044369
10252,2021,0.018682043
10257,2006,0.02815606
10257,2007,0.048006768
10257,2008,0.070328917
10257,2009,0.079191611
10257,2010,0.064206158
10257,2011,0.091697996
10257,2012,0.050343963
10257,2013,0.085975094
10257,2014,0.05640522
10257,2015,0.045085125
10257,2016,0.036578964
10257,2017,0.026817011
10257,2018,0.026256629
10257,2019,0.031451761
10257,2020,0.044326376
10257,2021,0.03151379
10259,2006,0.038330196
10259,2007,0.037327011
10259,2008,0.056039476
10259,2009,0.034817056
10259,2010,0.023270323
10259,2011,0.028198762
10259,2012,0.023980943
10259,2013,0.026706131
10259,2014,0.031990083
10259,2015,0.041437177
10259,2016,0.033989177
10259,2017,0.02620169
10259,2018,0.034111284
10259,2019,0.057354072
10259,2020,0.027336294
10271,2006,0.008937916
10271,2007,0.006478363
10271,2008,0.006230203
10290,2006,0.016929585
10290,2007,0.022248157
10290,2008,0.027463836
10290,2009,0.021398883
10290,2010,0.012556117
10290,2011,0.058403572
10290,2012,0.004101992
10294,2006,0.02687998
10294,2007,0.02840976
10294,2008,0.036363257
10294,2009,0.030493661
10294,2010,0.025760508
10294,2011,0.031309781
10294,2012,0.023504591
10294,2013,0.021496422
10294,2014,0.019720976
10294,2015,0.015332861
10294,2016,0.019054802
10294,2017,0.022007259
10294,2018,0.016765678
10294,2019,0.021528168
10294,2020,0.037826925
10294,2021,0.029870599
10297,2006,0.01437293
10297,2007,0.019672131
10297,2008,0.039527159
10297,2009,0.035911816
10297,2010,0.018049186
10297,2011,0.018911185
10297,2012,0.014675638
10297,2013,0.014290634
10297,2014,0.010318363
10297,2015,0.007977047
10297,2016,0.014570779
10297,2017,0.021711098
10299,2006,0.016026206
10299,2007,0.015750087
10299,2008,0.027633283
10299,2009,0.020860246
10299,2010,0.017298967
10299,2011,0.017714181
10299,2012,0.014357933
10299,2013,0.011181327
10299,2014,0.012464892
10299,2015,0.015777002
10299,2016,0.021581567
10299,2017,0.003715609
10302,2006,0.021362807
10302,2007,0.024718909
10302,2008,0.047818665
10302,2009,0.028563904
10302,2010,0.024082414
10302,2011,0.029798517
10302,2012,0.027098706
10302,2013,0.022547837
10302,2014,0.021236383
10302,2015,0.022807389
10302,2016,0.024282759
10302,2017,0.019859313
10302,2018,0.022871699
10302,2019,0.021867535
10302,2020,0.065918765
10304,2006,0.012235031
10304,2007,0.021889869
10304,2008,0.076494696
10304,2009,0.114447386
10304,2010,0.107631924
10308,2006,0.018106454
10308,2007,0.028597973
10308,2008,0.034759584
10308,2009,0.028911395
10308,2010,0.018114577
10308,2011,0.020238995
10308,2012,0.012956565
10308,2013,0.013335578
10308,2014,0.013252094
10308,2015,0.014481662
10308,2016,0.016294431
10308,2017,0.016286826
10308,2018,0.016490876
10308,2019,0.013228461
10308,2020,0.036682143
10308,2021,0.019589214
10318,2006,0.026341096
10318,2007,0.028267037
10318,2008,0.035212616
10318,2009,0.023664184
10318,2010,0.019879349
10318,2011,0.025845155
10318,2012,0.022458091
10318,2013,0.016621606
10318,2014,0.022447313
10318,2015,0.019333222
10318,2016,0.020146789
10318,2017,0.01226048
10318,2018,0.01444016
10318,2019,0.018822934
10318,2020,0.026070959
10318,2021,0.015294244
10324,2006,0.016006758
10324,2007,0.015548918
10324,2008,0.025877158
10324,2009,0.022276139
10324,2010,0.018520871
10324,2011,0.006924823
10333,2006,0.028489923
10333,2007,0.037033338
10333,2008,0.058142563
10333,2009,0.069017649
10333,2010,0.077425867
10333,2011,0.056759848
10333,2012,0.044840969
10333,2013,0.043431012
10333,2014,0.047171749
10333,2015,0.081262195
10333,2016,0.048682609
10333,2017,0.05476017
10333,2018,0.045784507
10333,2019,0.033321139
10333,2020,0.043308794
10333,2021,0.042132665
10353,2006,0.023327573
10353,2007,0.01997235
10353,2008,0.039735919
10353,2009,0.033081716
10353,2010,0.018081153
10353,2015,0.042318517
10353,2016,0.030040479
10353,2017,0.012267525
10371,2006,0.04000455
10371,2007,0.026231263
10371,2008,0.062857934
10371,2009,0.078740033
10371,2010,0.056176259
10375,2006,0.01107396
10375,2007,0.019123614
10375,2008,0.053354738
10375,2009,0.041584549
10375,2010,0.023367596
10375,2011,0.026303004
10375,2012,0.018760138
10375,2013,0.013622428
10375,2014,0.012343191
10375,2015,0.015377747
10375,2016,0.019244751
10375,2017,0.016315
10375,2018,0.015694083
10375,2019,0.016430295
10382,2006,0.031954644
10382,2007,0.028602353
10382,2008,0.044976667
10382,2009,0.037051147
10382,2010,0.026376853
10382,2011,0.031231566
10382,2012,0.019933468
10382,2013,0.014540145
10382,2014,0.017054535
10382,2015,0.019190395
10382,2016,0.022865322
10382,2017,0.017642977
10382,2018,0.028698752
10382,2019,0.025910116
10382,2020,0.032671961
10382,2021,0.026368762
10383,2006,0.032183612
10383,2007,0.046763069
10383,2008,0.038585082
10395,2006,0.016861169
10395,2007,0.019377667
10395,2008,0.03291016
10395,2009,0.019504395
10395,2010,0.016070174
10395,2011,0.020037531
10395,2012,0.013232919
10395,2013,0.011837045
10395,2014,0.011118317
10395,2015,0.011394555
10395,2016,0.013597206
10395,2017,0.014897202
10395,2018,0.016197655
10395,2019,0.000935847
10397,2006,0.017984834
10397,2007,0.017836311
10397,2008,0.034742466
10397,2009,0.02679658
10397,2010,0.017651799
10397,2011,0.021336539
10397,2012,0.014711671
10397,2013,0.011836259
10397,2014,0.010946071
10397,2015,0.018683947
10397,2016,0.019607314
10397,2017,0.016115058
10397,2018,0.020472825
10397,2019,0.015939063
10397,2020,0.024499348
10397,2021,0.015248082
10404,2006,0.04174609
10404,2007,0.037046451
10404,2008,0.047122453
10404,2009,0.04461065
10404,2010,0.034960189
10421,2006,0.021985254
10421,2007,0.020027529
10421,2008,0.043909821
10421,2009,0.03794621
10421,2010,0.020504538
10421,2011,0.027152586
10421,2012,0.028423115
10421,2013,0.022905438
10421,2014,0.0281883
10421,2015,0.032290454
10421,2016,0.025680845
10421,2017,0.021819839
10421,2018,0.022512353
10421,2019,0.016578912
10421,2020,0.06974329
10421,2021,0.028730372
10443,2006,0.022260736
10443,2007,0.020424915
10443,2008,0.03389148
10443,2009,0.033898995
10443,2010,0.021073959
10443,2011,0.037175605
10443,2012,0.031694667
10443,2013,0.020676689
10443,2014,0.023806844
10443,2015,0.022461255
10443,2016,0.02196396
10443,2017,0.018106709
10443,2018,0.017042751
10443,2019,0.01909491
10443,2020,0.032126494
10443,2021,0.020674464
10488,2006,0.031965402
10501,2006,0.025782725
10501,2007,0.025848953
10501,2008,0.048091668
10501,2009,0.039883266
10501,2010,0.02798025
10501,2011,0.03967659
10501,2012,0.032396328
10501,2013,0.023710893
10501,2014,0.020983182
10501,2015,0.024659603
10501,2016,0.023967297
10501,2017,0.024741672
10501,2018,0.025685944
10501,2019,0.01973429
10501,2020,0.056777831
10501,2021,0.023446146
10507,2006,0.020370609
10507,2007,0.026594232
10507,2008,0.047868
10507,2009,0.04644407
10507,2010,0.031219457
10507,2011,0.03348524
10507,2012,0.026635879
10507,2013,0.047028565
10507,2014,0.073469873
10514,2006,0.025627465
10514,2007,0.030860152
10514,2008,0.050612957
10514,2009,0.077219395
10514,2010,0.039473987
10514,2011,0.02632189
10514,2012,0.029576789
10514,2013,0.022071733
10514,2014,0.021758155
10514,2015,0.019496649
10514,2016,0.024871198
10514,2017,0.049936388
10514,2018,0.052578939
10514,2019,0.077042202
10514,2020,0.155915609
10514,2021,0.07399939
10516,2006,0.023560191
10516,2007,0.017721762
10516,2008,0.040465929
10516,2009,0.02537072
10516,2010,0.014909016
10516,2011,0.020946782
10516,2012,0.012997662
10516,2013,0.013671964
10516,2014,0.012246679
10516,2015,0.014918469
10516,2016,0.018220464
10516,2017,0.011744382
10516,2018,0.011853524
10516,2019,0.012686885
10516,2020,0.02519802
10516,2021,0.01312399
10517,2006,0.017850912
10517,2007,0.021946363
10517,2008,0.036750453
10517,2009,0.028291205
10517,2010,0.024530021
10517,2011,0.025246366
10517,2012,0.017391545
10517,2013,0.011354518
10517,2014,0.017160034
10517,2015,0.025559045
10517,2016,0.023993426
10517,2017,0.024447887
10517,2018,0.022940396
10517,2019,0.020690379
10517,2020,0.051713281
10517,2021,0.02561705
10530,2006,0.027366521
10530,2007,0.01969131
10530,2008,0.033302085
10530,2009,0.02265374
10530,2010,0.021601926
10530,2011,0.026309188
10530,2012,0.016672955
10530,2013,0.013886859
10530,2014,0.015891463
10530,2015,0.013969301
10530,2016,0.015605997
10530,2017,0.022972569
10530,2018,0.018388191
10530,2019,0.026166112
10530,2020,0.049086579
10530,2021,0.035689104
10550,2006,0.030246926
10550,2007,0.034736371
10550,2008,0.052671694
10550,2009,0.061075511
10550,2010,0.053217671
10550,2011,0.038720107
10550,2012,0.040566405
10550,2013,0.027830286
10550,2014,0.044377705
10550,2015,0.020984774
10550,2016,0.035455614
10550,2017,0.02348766
10550,2018,0.036356893
10550,2019,0.035337018
10550,2020,0.044269374
10550,2021,0.03527308
10560,2006,0.026235155
10560,2007,0.035162908
10562,2006,0.01343647
10562,2007,0.024292292
10562,2008,0.09298558
10562,2009,0.06914984
10563,2006,0.024343573
10563,2007,0.02954535
10563,2008,0.07624645
10563,2009,0.107270006
10563,2010,0.038460043
10568,2006,0.02306382
10568,2007,0.027469403
10568,2008,0.073973194
10568,2009,0.082119229
10568,2010,0.080750626
10568,2011,0.05637728
10574,2006,0.030498861
10574,2007,0.030086384
10574,2008,0.023834567
10586,2006,0.028190757
10586,2007,0.04273202
10586,2008,0.070765419
10597,2006,0.027951335
10597,2007,0.025505313
10597,2008,0.050412459
10597,2009,0.080545787
10597,2010,0.004826289
10606,2006,0.0274759
10606,2007,0.02134729
10606,2008,0.035764402
10606,2009,0.027921545
10606,2010,0.020017013
10606,2011,0.027251265
10606,2012,0.015941175
10606,2013,0.013493789
10606,2014,0.014749145
10606,2015,0.01726633
10606,2016,0.015060317
10606,2017,0.013127216
10606,2018,0.014091923
10606,2019,0.015391765
10606,2020,0.028407997
10606,2021,0.014985321
10623,2006,0.018163303
10623,2007,0.029932563
10629,2006,0.013959362
10629,2007,0.020610115
10629,2008,0.049376028
10629,2009,0.049994277
10629,2010,0.023421971
10629,2011,0.025927909
10629,2012,0.013918895
10629,2013,0.012445888
10629,2014,0.012092503
10629,2015,0.014537561
10629,2016,0.01644163
10629,2017,0.014494073
10629,2018,0.014127041
10629,2019,0.015311373
10629,2020,0.047407576
10629,2021,0.020844887
10638,2006,0.026395602
10638,2007,0.029138525
10638,2008,0.044876017
10638,2009,0.058139265
10638,2010,0.0121141
10644,2006,0.02344326
10644,2007,0.041706771
10644,2008,0.057532823
10644,2009,0.059862855
10644,2010,0.038961768
10644,2011,0.030437332
10644,2012,0.027237628
10644,2013,0.029650925
10649,2006,0.024566191
10649,2007,0.023722694
10649,2008,0.061593534
10649,2009,0.045815812
10649,2010,0.031279877
10649,2011,0.021450439
10649,2012,0.02474357
10649,2013,0.023417762
10649,2014,0.025652261
10649,2015,0.033952401
10649,2016,0.028661485
10649,2017,0.031764341
10649,2018,0.031861858
10649,2019,0.036157039
10649,2020,0.05872001
10649,2021,0.033317036
10650,2006,
10656,2006,0.019635809
10656,2007,0.019059299
10656,2008,0.046465393
10656,2009,0.03894103
10656,2010,0.027844997
10656,2011,0.030491691
10656,2012,0.017837338
10656,2013,0.024141065
10656,2014,0.024166817
10656,2015,0.027520331
10656,2016,0.02715065
10656,2017,0.029456477
10656,2018,0.05807157
10656,2019,0.141461781
10657,2006,0.03570921
10657,2007,0.000856046
10667,2006,0.042777646
10667,2007,0.035794868
10667,2008,0.072501378
10667,2009,0.055606343
10667,2010,0.032357551
10667,2011,0.037425302
10667,2012,0.03475737
10667,2013,0.028147272
10667,2014,0.025687003
10667,2015,0.031133388
10667,2016,0.04721077
10682,2006,0.015672767
10682,2007,0.00660315
10693,2006,0.022786607
10693,2007,0.020932429
10693,2008,0.038746535
10693,2009,0.030302657
10693,2010,0.018971702
10693,2011,0.028759218
10693,2012,0.018795543
10693,2013,0.013650235
10693,2014,0.015126624
10693,2015,0.018795774
10693,2016,0.017284799
10693,2017,0.012910227
10693,2018,0.015467664
10693,2019,0.015906474
10693,2020,0.027476554
10693,2021,0.014995819
10709,2006,0.023098308
10709,2007,0.017397832
10709,2008,0.041925084
10769,2006,0.018306228
10769,2007,0.018836586
10769,2008,0.06851908
10769,2009,0.07095883
10769,2010,0.038181348
10769,2011,0.029970017
10769,2012,0.050412756
10777,2006,0.012589838
10777,2007,0.016281199
10777,2008,0.030309944
10777,2009,0.037020399
10777,2010,0.01670866
10777,2011,0.020162584
10777,2012,0.011880001
10777,2013,0.010513246
10777,2014,0.012182078
10777,2015,0.015586796
10777,2016,0.016424073
10777,2017,0.015526848
10777,2018,0.015001164
10777,2019,0.012519996
10777,2020,0.035961979
10777,2021,0.021946935
10779,2006,0.039412618
10779,2007,0.029472781
10779,2008,0.061395686
10779,2009,0.074020435
10779,2010,0.037391834
10779,2011,0.037037122
10779,2012,0.052258543
10779,2013,0.039796314
10779,2014,0.027008582
10779,2015,0.031620543
10779,2016,0.028061139
10779,2017,0.027396471
10779,2018,0.034627212
10779,2019,0.027152226
10779,2020,0.058285073
10779,2021,0.038670137
10781,2006,0.016489033
10781,2007,0.020328109
10781,2008,0.037992536
10781,2009,0.046206296
10781,2010,0.034200291
10781,2011,0.021127558
10781,2012,0.023011626
10781,2013,0.019776169
10781,2014,0.012383692
10781,2015,0.017603602
10781,2016,0.018099949
10781,2017,0.017729346
10781,2018,0.018079943
10781,2019,0.01158606
10781,2020,0.023143487
10781,2021,0.01796359
10785,2006,0.033763169
10785,2007,0.025168153
10785,2008,0.035300587
10785,2009,0.04780356
10785,2010,0.002189232
10812,2006,0.021692972
10812,2007,0.020514221
10812,2008,0.032426729
10812,2009,0.023307857
10812,2010,0.015937383
10812,2011,0.018740245
10812,2012,0.01225365
10812,2013,0.016629471
10812,2014,0.015464417
10812,2015,0.016504938
10812,2016,0.017613895
10812,2017,0.01445528
10812,2018,0.017729696
10812,2019,0.01456823
10812,2020,0.022523494
10812,2021,0.012544906
10822,2006,0.027071498
10822,2007,0.020341782
10822,2008,0.06101021
10822,2009,0.075033448
10822,2010,0.034951881
10822,2011,0.084476616
10825,2006,0.01043252
10825,2007,0.019177122
10825,2008,0.081055829
