LPERMNO,year,adj_prccd
10001,2006,1.5359061503063176
10001,2007,2.1052593168410194
10001,2008,3.0609487764901173
10001,2009,1.7673912542405528
10001,2010,2.294329305373588
10001,2011,1.1760104941767442
10001,2012,2.0034161283836784
10001,2013,2.316781067953376
10001,2014,4.048337922586797
10001,2015,2.810408716582334
10001,2016,9.57871977077609
10001,2017,0.7962089225757363
10002,2006,3.908756050973904
10002,2007,5.598564502118262
10002,2008,2.8135651598228475
10002,2009,4.341946379588425
10002,2010,1.7691463795251896
10002,2011,0.7287713582704807
10002,2012,1.2579522898856748
10002,2013,0.0726821196373268
10025,2006,9.478506322889771
10025,2007,4.724298736195009
10025,2008,5.806062698810902
10025,2009,10.298643033041255
10025,2010,4.677039896041368
10025,2011,2.5050461689618646
10025,2012,11.510574641435976
10025,2013,10.188971416035804
10025,2014,5.83147841048782
10025,2015,12.486158168901508
10025,2016,20.79561773838339
10025,2017,2.5147381761557863
10026,2006,3.099080974932118
10026,2007,2.9898852979286463
10026,2008,2.8912146902789995
10026,2009,3.973327208308536
10026,2010,3.105970195858294
10026,2011,2.9924333286770017
10026,2012,4.226773357334465
10026,2013,6.907402285672348
10026,2014,6.621514000665552
10026,2015,7.588498208477013
10026,2016,10.175167055007964
10026,2017,7.870481657635695
10026,2018,8.86759034548871
10026,2019,20.06480798895105
10026,2020,23.014188903130183
10026,2021,10.662917778411774
10042,2006,0.1280362890105209
10042,2007,0.1553053180014191
10042,2008,0.0223135945355912
10044,2006,0.969652761830402
10044,2007,1.9781724037328752
10044,2008,2.7331214168384856
10044,2009,1.4871004442701936
10044,2010,0.5951682529134054
10044,2011,0.884157488622367
10044,2012,1.9692390135037372
10044,2013,0.7399592962322178
10044,2014,0.9717503715590762
10044,2015,1.6841508590472367
10044,2016,0.4902868975739739
10044,2017,0.8429916668296787
10044,2018,2.149105151779304
10044,2019,0.7433578142513069
10044,2020,3.6005475730709544
10044,2021,2.688707258708445
10056,2006,9.714133193206012
10065,2006,4.986422296299344
10065,2007,4.547751032938011
10065,2008,16.615507510791414
10065,2009,11.915340353355
10065,2010,5.799547543090212
10065,2011,7.55130856516566
10065,2012,4.925656798680408
10065,2013,9.236378000640936
10065,2014,9.982555766126302
10065,2015,6.090256209438012
10065,2016,9.43352195580907
10065,2017,17.080865166717164
10065,2018,11.816726871592916
10065,2019,23.65788182143825
10065,2020,38.30855275953431
10065,2021,37.20742081497678
10078,2006,1.929713381933788
10078,2007,2.119719943702404
10078,2008,4.687701428603545
10078,2009,1.830195491270708
10078,2010,0.0386813898782954
10085,2006,0.3690433671982286
10100,2006,0.2065752886005447
10100,2007,0.3868161634283169
10100,2008,0.2579568695257829
10100,2009,0.2093328089108007
10100,2010,0.3886258786824481
10100,2011,0.3456232825290226
10100,2012,0.3391086998243281
10100,2013,0.1475306964961056
10104,2006,2.214989710072885
10104,2007,1.68502416033363
10104,2008,2.071199717636204
10104,2009,2.4178021632258413
10104,2010,2.602986274493257
10104,2011,2.4847047548067263
10104,2012,2.028025643042837
10104,2013,1.5730558298978756
10104,2014,2.0438462206523025
10104,2015,2.8325447665648293
10104,2016,2.125838394071241
10104,2017,4.1427734230329625
10104,2018,2.347311870954456
10104,2019,3.091156477570137
10104,2020,4.97063216589814
10104,2021,13.800482156553487
10107,2006,2.693490277107786
10107,2007,2.789709998891173
10107,2008,4.403326645730296
10107,2009,5.3156868561212685
10107,2010,2.6273556068396537
10107,2011,1.408789213497549
10107,2012,1.9296411225693588
10107,2013,4.939192547865315
10107,2014,5.80066456654092
10107,2015,6.490517752019536
10107,2016,6.105979952173841
10107,2017,11.084578525414486
10107,2018,12.633576069851552
10107,2019,23.76407456471904
10107,2020,36.6283901098768
10119,2006,1.2961188109936357
10119,2007,2.064730471029077
10137,2006,13.717444070037672
10137,2007,17.3842849808136
10137,2008,35.9783338950851
10137,2009,11.621381502752888
10137,2010,4.999113546789663
10137,2011,2.152697045292399
10138,2006,5.262596788557311
10138,2007,7.425388606877826
10138,2008,14.153863886676875
10138,2009,13.345039266407335
10138,2010,7.725193684265418
10138,2011,9.411942786936114
